id,timestamp,scenarioId,turn,model,provider,estimatedInputTokens,actualInputTokens,estimatedOutputTokens,actualOutputTokens,optimizationEnabled,techniquesApplied,estimatedSavings,actualSavings,optimizationEffective,latencyMs,success,error
ff37266f-f504-4448-a467-467fa494db02,2025-12-29T12:51:11.277Z,short-01-greeting,1,gpt-4,openai,9,9,1,11,true,,0,0,false,1,true,
961cdfb0-90fa-4728-8822-68f8d9187b9b,2025-12-29T12:51:11.277Z,short-02-simple-question,1,gpt-4,openai,14,14,1,16,true,,0,0,false,0,true,
90ff5779-4f2f-4663-8c69-0fbe5e17351d,2025-12-29T12:51:11.277Z,short-03-followup,1,gpt-4,openai,15,15,1,17,true,,0,0,false,0,true,
e612f9b7-516e-4615-b240-b56929dcb1d3,2025-12-29T12:51:11.278Z,short-03-followup,2,gpt-4,openai,70,70,1,19,true,,0,0,false,0,true,
d175d8de-eaa8-4f75-9650-1f6f1b4d536c,2025-12-29T12:51:11.278Z,short-04-with-system,1,gpt-4,openai,29,29,1,16,true,,0,0,false,0,true,
f965bd84-dfb3-4056-bb8e-820f51cfac1b,2025-12-29T12:51:11.278Z,short-05-translation,1,gpt-4,openai,18,18,1,20,true,,0,0,false,0,true,
7ca0f27a-254a-459d-8d59-5c8306d0e672,2025-12-29T12:51:11.279Z,long-01-customer-support,1,gpt-4,openai,40,40,1,19,true,,0,0,false,1,true,
a5e236d6-32a2-474f-8740-8215677fe5fd,2025-12-29T12:51:11.279Z,long-01-customer-support,2,gpt-4,openai,79,79,1,18,true,,0,0,false,0,true,
73e31ba8-19de-4541-818c-4a218446ab6a,2025-12-29T12:51:11.280Z,long-01-customer-support,3,gpt-4,openai,125,125,1,20,true,,0,0,false,1,true,
90566e03-d0d1-4013-aa83-9a84ce0f865d,2025-12-29T12:51:11.281Z,long-01-customer-support,4,gpt-4,openai,162,162,1,16,true,,0,0,false,1,true,
7c1fb904-1b53-4749-ad75-0a5e8667cb9d,2025-12-29T12:51:11.281Z,long-01-customer-support,5,gpt-4,openai,214,214,1,20,true,,0,0,false,0,true,
7a77a37a-784a-4b23-ad99-a3a2e6acae6d,2025-12-29T12:51:11.282Z,long-01-customer-support,6,gpt-4,openai,266,266,1,18,true,,0,0,false,1,true,
541f9c4b-8bed-47b0-9f0b-18bc081d1bf2,2025-12-29T12:51:11.283Z,long-02-tutoring-session,1,gpt-4,openai,36,36,1,16,true,,0,0,false,1,true,
b926a9af-2c3c-40de-89a5-88be25259e61,2025-12-29T12:51:11.283Z,long-02-tutoring-session,2,gpt-4,openai,111,111,1,16,true,,0,0,false,0,true,
2a2948a1-d4e6-403b-b62d-696ba9d291b9,2025-12-29T12:51:11.284Z,long-02-tutoring-session,3,gpt-4,openai,192,192,1,26,true,,0,0,false,1,true,
8d42a9fe-5a93-4123-bb34-94681fffdee2,2025-12-29T12:51:11.285Z,long-02-tutoring-session,4,gpt-4,openai,284,284,1,19,true,,0,0,false,1,true,
df272809-8718-47db-baea-5c7a865f5ad4,2025-12-29T12:51:11.287Z,long-02-tutoring-session,5,gpt-4,openai,398,398,1,39,true,,0,0,false,2,true,
4849356a-faeb-42a8-9943-f0112185f43c,2025-12-29T12:51:11.288Z,long-02-tutoring-session,6,gpt-4,openai,446,446,1,17,true,,0,0,false,1,true,
b4d058a8-4f92-4476-9e49-75b91286a073,2025-12-29T12:51:11.290Z,long-02-tutoring-session,7,gpt-4,openai,526,526,1,27,true,,0,0,false,2,true,
e43aefae-7843-4629-bea8-be77037aa862,2025-12-29T12:51:11.291Z,long-03-debugging-session,1,gpt-4,openai,55,55,1,19,true,prompt-compression,9,9,true,0,true,
b7a1566d-c422-4961-97c7-84deb84016a7,2025-12-29T12:51:11.292Z,long-03-debugging-session,2,gpt-4,openai,119,119,1,29,true,prompt-compression,9,9,true,1,true,
628723fe-f711-4984-b281-7f95c8073372,2025-12-29T12:51:11.292Z,long-03-debugging-session,3,gpt-4,openai,205,205,1,25,true,prompt-compression,9,9,true,0,true,
8801d262-1a34-4934-9995-22d2928c7b49,2025-12-29T12:51:11.293Z,long-03-debugging-session,4,gpt-4,openai,277,277,1,24,true,prompt-compression,9,9,true,1,true,
73738418-0744-4a35-801a-bef72a2d48fd,2025-12-29T12:51:11.294Z,long-03-debugging-session,5,gpt-4,openai,350,350,1,20,true,prompt-compression,9,9,true,1,true,
05459312-f749-4029-8e3f-0a4ff6161f97,2025-12-29T12:51:11.295Z,long-03-debugging-session,6,gpt-4,openai,429,429,1,18,true,prompt-compression,9,9,true,1,true,
8b6f1953-6ecb-4eed-be8d-755db5752821,2025-12-29T12:51:11.296Z,long-03-debugging-session,7,gpt-4,openai,519,519,1,18,true,prompt-compression,9,9,true,1,true,
7140dbd7-998b-4865-9289-b916eb79010c,2025-12-29T12:51:11.297Z,code-01-large-function,1,gpt-4,openai,251,251,1,18,true,prompt-compression,99,99,true,1,true,
40763aa6-e5fa-4ba4-b84c-1426bc1d296f,2025-12-29T12:51:11.298Z,code-02-multi-file,1,gpt-4,openai,257,257,1,20,true,prompt-compression,86,86,true,1,true,
e68f69fc-999a-4eef-a5c8-a1efe873182c,2025-12-29T12:51:11.298Z,tool-01-function-calling,1,gpt-4,openai,33,33,1,17,true,,0,0,false,0,true,
db01d924-9620-45eb-ae24-f4a9d912552f,2025-12-29T12:51:11.298Z,tool-02-multi-tool,1,gpt-4,openai,44,44,1,20,true,,0,0,false,0,true,
45fe9ed8-a1af-468c-a59f-be4d9ca8672c,2025-12-29T12:51:11.298Z,tool-02-multi-tool,2,gpt-4,openai,89,89,1,22,true,,0,0,false,0,true,
d146f1b6-74bc-4a66-8417-029c2cb5df24,2025-12-29T12:51:11.299Z,tool-02-multi-tool,3,gpt-4,openai,137,137,1,26,true,,0,0,false,1,true,
68d9ce90-d917-4ff8-8c42-e43250979c3f,2025-12-29T12:51:11.299Z,edge-01-empty-input,1,gpt-4,openai,7,7,1,9,true,,0,0,false,0,true,
1bb96374-1225-4d23-9052-265789d41cf9,2025-12-29T12:51:11.299Z,edge-02-unicode-heavy,1,gpt-4,openai,49,49,1,51,true,,0,0,false,0,true,
8414f753-479c-4c5b-b8a4-1aa369e75860,2025-12-29T12:51:11.299Z,edge-04-special-chars,1,gpt-4,openai,33,33,1,29,true,,0,0,false,0,true,
e870b57d-c42b-42ab-833a-6ddc18dbfaa6,2025-12-29T12:51:11.300Z,edge-05-whitespace,1,gpt-4,openai,21,21,1,23,true,,0,0,false,0,true,
9bf95454-8f8b-4754-9bf4-5b29e729aef0,2025-12-29T12:51:11.300Z,replay-01-known-baseline,1,gpt-4,openai,25,25,1,20,true,,0,0,false,0,true,
6d40832a-8dbd-4089-bde7-52131d71222a,2025-12-29T12:51:11.301Z,replay-02-structured-data,1,gpt-4,openai,41,41,1,23,true,prompt-compression,9,9,true,0,true,
09044958-f33a-4937-99c2-a601df9a9b38,2025-12-29T12:51:11.301Z,replay-03-compression-target,1,gpt-4,openai,27,27,1,24,true,prompt-compression,12,12,true,0,true,
81975eb9-0c75-404f-9fd2-80e49546fd03,2025-12-29T12:51:11.302Z,replay-04-system-heavy,1,gpt-4,openai,105,105,1,10,true,,0,0,false,1,true,
1c4588f7-e406-4498-9406-08eca6aea86e,2025-12-29T12:51:11.302Z,replay-05-history-pruning,1,gpt-4,openai,28,28,1,20,true,,0,0,false,0,true,
da97c6cb-188b-4ebb-9e25-0559864b43e3,2025-12-29T12:51:11.302Z,replay-05-history-pruning,2,gpt-4,openai,57,57,1,20,true,,0,0,false,0,true,
a2216beb-a6ce-4b75-b2e5-dd74ec32be96,2025-12-29T12:51:11.302Z,replay-05-history-pruning,3,gpt-4,openai,86,86,1,20,true,,0,0,false,0,true,
a6668eea-6269-4f9e-8916-671aec16e348,2025-12-29T12:51:11.303Z,replay-05-history-pruning,4,gpt-4,openai,115,115,1,20,true,,0,0,false,1,true,
8a188c05-afc7-4aa6-bbc6-39b71322d17e,2025-12-29T12:51:11.303Z,replay-05-history-pruning,5,gpt-4,openai,144,144,1,20,true,,0,0,false,0,true,
6dd99c2f-741c-4ed2-b9e7-14c9307b44da,2025-12-29T12:51:11.303Z,replay-05-history-pruning,6,gpt-4,openai,173,173,1,20,true,,0,0,false,0,true,
c12c190f-c4b4-44c3-89a1-00fc40c32928,2025-12-29T12:51:11.304Z,replay-05-history-pruning,7,gpt-4,openai,202,202,1,20,true,,0,0,false,1,true,
115e924f-955b-4ea4-8a0c-926002a08cd8,2025-12-29T12:51:11.304Z,replay-05-history-pruning,8,gpt-4,openai,231,231,1,20,true,,0,0,false,0,true,
042421a1-8509-44e3-b3e8-af7c08517973,2025-12-29T12:51:11.305Z,replay-05-history-pruning,9,gpt-4,openai,260,260,1,20,true,,0,0,false,0,true,
775755b0-ea8c-4f6a-95df-b187c1df3e3d,2025-12-29T12:51:11.306Z,replay-05-history-pruning,10,gpt-4,openai,289,289,1,20,true,,0,0,false,1,true,
563bc6a9-39d0-4fc6-8d1c-3a86649b758a,2025-12-29T12:51:11.307Z,replay-05-history-pruning,11,gpt-4,openai,299,299,1,16,true,history-limiting,15,15,true,1,true,
